generation_id,Formula,Space group,"$E_{\text{hull}}$, eV / atom","$E_{\text{reduction}}$, V \emph{vs.} Li/Li$^+$","$E_{\text{oxidation}}$, V \emph{vs.} Li/Li$^+$","$E_{\text{rxn}}$, eV / atom","$\sigma_{\text{Li}}^{\text{300 K}}$, mS / cm","$\sigma_{\text{Li}}^{\text{300 K}}$, mS / cm (standard error)",structure_cif
wf_mace_mpa_am20_b3_18341,Li$_{3}$AlF$_{6}$,$P312$,0.06,1.06,6.44,-0.01,0.6847436195617309,0.09190614644089969,"data_image0
_chemical_formula_structural       Li3F6Al
_chemical_formula_sum              ""Li3 F6 Al1""
_cell_length_a       4.967587223483006
_cell_length_b       4.967587223483007
_cell_length_c       4.882936945399411
_cell_angle_alpha    90.0
_cell_angle_beta     90.0
_cell_angle_gamma    120.00000000000001

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Li  Li1       1.0  0.0  0.0  0.5  1.0000
  Li  Li2       1.0  0.6666666666666662  0.33333333333333315  6.058297347800012e-32  1.0000
  Li  Li3       1.0  0.6666666666666663  0.33333333333333315  0.5  1.0000
  F   F1        1.0  0.3463814086336057  0.9810198702639579  0.29003872672338993  1.0000
  F   F2        1.0  0.018980129736041677  0.36536153836964713  0.2900387267233899  1.0000
  F   F3        1.0  0.6346384616303523  0.6536185913663939  0.2900387267233897  1.0000
  F   F4        1.0  0.018980129736041684  0.6536185913663946  0.7099612732766104  1.0000
  F   F5        1.0  0.6346384616303526  0.9810198702639582  0.7099612732766106  1.0000
  F   F6        1.0  0.3463814086336057  0.36536153836964746  0.7099612732766103  1.0000
  Al  Al1       1.0  0.33333333333333315  0.6666666666666665  0.5  1.0000
"
wf_mace_mpa_am20_b3_20670,Li$_{3}$YCl$_{6}$,$P312$,0.06,0.64,4.28,0.0,0.5854859973351618,0.03330620893108383,"data_image0
_chemical_formula_structural       Li3Cl6Y
_chemical_formula_sum              ""Li3 Cl6 Y1""
_cell_length_a       6.42194478611111
_cell_length_b       6.421944786111108
_cell_length_c       6.316816683730237
_cell_angle_alpha    90.0000000000001
_cell_angle_beta     90.0
_cell_angle_gamma    119.99999999999999

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Li  Li1       1.0  7.092073680974855e-31  4.913532778588194e-31  0.5000000000000002  1.0000
  Li  Li2       1.0  0.6666666666666655  0.33333333333333287  0.49999999999999967  1.0000
  Li  Li3       1.0  0.333333333333333  0.6666666666666666  0.0  1.0000
  Cl  Cl1       1.0  0.6714834242684304  0.9943564189434788  0.7460339666629963  1.0000
  Cl  Cl2       1.0  0.005643581056523061  0.6771270053249537  0.746033966662996  1.0000
  Cl  Cl3       1.0  0.32287299467504643  0.32851657573156984  0.7460339666629956  1.0000
  Cl  Cl4       1.0  0.005643581056523046  0.32851657573157034  0.2539660333370041  1.0000
  Cl  Cl5       1.0  0.3228729946750464  0.9943564189434786  0.2539660333370043  1.0000
  Cl  Cl6       1.0  0.6714834242684309  0.6771270053249542  0.253966033337004  1.0000
  Y   Y1        1.0  0.0  2.581486027407401e-32  0.0  1.0000
"
wf_mace_mpa_am20_b3_33917,Li$_{3}$AlF$_{6}$,$P\bar{1}$,0.04,1.06,6.44,-0.01,0.5237558054054279,0.15360840433626521,"data_image0
_chemical_formula_structural       Li3F6Al
_chemical_formula_sum              ""Li3 F6 Al1""
_cell_length_a       4.905807703631176
_cell_length_b       5.112664151522724
_cell_length_c       6.334401534775287
_cell_angle_alpha    68.51021649616872
_cell_angle_beta     128.79992380951387
_cell_angle_gamma    118.29261286519713

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Li  Li1       1.0  6.911073612525021e-17  6.059941182442728e-18  0.5000000000000001  1.0000
  Li  Li2       1.0  0.6610607426618668  0.356366354081975  0.9795312600235488  1.0000
  Li  Li3       1.0  0.338939257338134  0.643633645918026  0.020468739976451055  1.0000
  F   F1        1.0  0.8730029855121183  0.7383106782737685  0.793188698220446  1.0000
  F   F2        1.0  0.12699701448788225  0.2616893217262317  0.2068113017795544  1.0000
  F   F3        1.0  0.14802422835932597  0.31647509562842885  0.7987581784679323  1.0000
  F   F4        1.0  0.8519757716406745  0.6835249043715729  0.2012418215320677  1.0000
  F   F5        1.0  0.5246340527741952  0.01835722885871666  0.7873403542779994  1.0000
  F   F6        1.0  0.47536594722580544  0.9816427711412846  0.21265964572200058  1.0000
  Al  Al1       1.0  1.2137564196686517e-17  5.5482059538106606e-18  3.2968794624807763e-18  1.0000
"
wf_mace_mpa_am20_b3_17075,Li$_{2}$MgCl$_{4}$,$C2/c$,0.05,0.87,4.28,0.0,0.46430474322537807,0.10130678517439745,"data_image0
_chemical_formula_structural       Li8Mg4Cl16
_chemical_formula_sum              ""Li8 Mg4 Cl16""
_cell_length_a       12.272449348065596
_cell_length_b       7.7769792028005105
_cell_length_c       6.4633129360802
_cell_angle_alpha    90.0
_cell_angle_beta     76.96592376060615
_cell_angle_gamma    90.0

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Li  Li1       1.0  0.827883917512314  0.6215122319659101  0.8259355132005264  1.0000
  Li  Li2       1.0  0.17211608248768545  0.6215122319659103  0.6740644867994733  1.0000
  Li  Li3       1.0  0.17211608248768534  0.3784877680340891  0.17406448679947406  1.0000
  Li  Li4       1.0  0.8278839175123127  0.378487768034089  0.32593551320052616  1.0000
  Li  Li5       1.0  0.32788391751231477  0.12151223196591099  0.8259355132005266  1.0000
  Li  Li6       1.0  0.6721160824876852  0.12151223196591099  0.6740644867994737  1.0000
  Li  Li7       1.0  0.6721160824876852  0.8784877680340888  0.1740644867994742  1.0000
  Li  Li8       1.0  0.3278839175123146  0.8784877680340887  0.32593551320052516  1.0000
  Mg  Mg1       1.0  0.5000000000000002  0.6425964024987083  0.7499999999999994  1.0000
  Mg  Mg2       1.0  0.5000000000000004  0.35740359750129164  0.24999999999999986  1.0000
  Mg  Mg3       1.0  0.9999999999999999  0.14259640249870809  0.7499999999999994  1.0000
  Mg  Mg4       1.0  0.9999999999999999  0.8574035975012892  0.2499999999999998  1.0000
  Cl  Cl1       1.0  0.6202972128072812  0.13870093019027113  0.042399984639373556  1.0000
  Cl  Cl2       1.0  0.3797027871927187  0.13870093019027113  0.4576000153606257  1.0000
  Cl  Cl3       1.0  0.8797027871927184  0.3612990698097282  0.957600015360626  1.0000
  Cl  Cl4       1.0  0.12029721280728153  0.36129906980972815  0.5423999846393734  1.0000
  Cl  Cl5       1.0  0.12029721280728164  0.6387009301902715  0.04239998463937365  1.0000
  Cl  Cl6       1.0  0.8797027871927183  0.6387009301902715  0.45760001536062617  1.0000
  Cl  Cl7       1.0  0.6207332252944968  0.39078184599825166  0.516827812694241  1.0000
  Cl  Cl8       1.0  0.8792667747055032  0.10921815400174774  0.4831721873057572  1.0000
  Cl  Cl9       1.0  0.3792667747055032  0.6092181540017474  0.4831721873057575  1.0000
  Cl  Cl10      1.0  0.6207332252944967  0.6092181540017471  0.0168278126942423  1.0000
  Cl  Cl11      1.0  0.12073322529449622  0.8907818459982519  0.5168278126942422  1.0000
  Cl  Cl12      1.0  0.879266774705505  0.8907818459982522  0.9831721873057573  1.0000
  Cl  Cl13      1.0  0.6202972128072817  0.8612990698097277  0.5423999846393737  1.0000
  Cl  Cl14      1.0  0.12073322529449647  0.10921815400174766  0.016827812694241957  1.0000
  Cl  Cl15      1.0  0.37926677470550274  0.39078184599825194  0.9831721873057567  1.0000
  Cl  Cl16      1.0  0.3797027871927186  0.8612990698097277  0.9576000153606258  1.0000
"
wf_mace_mpa_am20_b3_6572,Li$_{2}$HfCl$_{6}$,$P4_2/mnm$,0.02,1.36,4.28,-0.05,0.4143628250020878,0.10154398680785116,"data_image0
_chemical_formula_structural       Li4Cl12Hf2
_chemical_formula_sum              ""Li4 Cl12 Hf2""
_cell_length_a       6.10532848082736
_cell_length_b       6.105328480827339
_cell_length_c       11.205972299286454
_cell_angle_alpha    90.0
_cell_angle_beta     90.00000000000001
_cell_angle_gamma    90.0

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Li  Li1       1.0  0.0  0.0  0.6655766910181686  1.0000
  Li  Li2       1.0  0.5  0.49999999999999983  0.16557669101816835  1.0000
  Li  Li3       1.0  0.5000000000000001  0.49999999999999994  0.8344233089818301  1.0000
  Li  Li4       1.0  0.0  0.0  0.3344233089818312  1.0000
  Cl  Cl1       1.0  0.6946732141305033  0.6946732141305036  0.6598200937427792  1.0000
  Cl  Cl2       1.0  0.3053267858694967  0.30532678586949663  0.6598200937427791  1.0000
  Cl  Cl3       1.0  0.8053267858694961  0.1946732141305035  0.15982009374277947  1.0000
  Cl  Cl4       1.0  0.1946732141305035  0.8053267858694962  0.15982009374277953  1.0000
  Cl  Cl5       1.0  0.8053267858694964  0.19467321413050342  0.8401799062572195  1.0000
  Cl  Cl6       1.0  0.19467321413050345  0.8053267858694965  0.8401799062572195  1.0000
  Cl  Cl7       1.0  0.3053267858694966  0.30532678586949646  0.3401799062572203  1.0000
  Cl  Cl8       1.0  0.787131385577909  0.21286861442209123  0.49999999999999956  1.0000
  Cl  Cl9       1.0  0.2128686144220913  0.7871313855779081  0.4999999999999996  1.0000
  Cl  Cl10      1.0  0.7128686144220915  0.7128686144220912  0.0  1.0000
  Cl  Cl11      1.0  0.28713138557790874  0.2871313855779084  2.419878694390399e-32  1.0000
  Cl  Cl12      1.0  0.6946732141305032  0.6946732141305034  0.34017990625721983  1.0000
  Hf  Hf1       1.0  7.042467946012466e-33  7.042467946012469e-33  0.0  1.0000
  Hf  Hf2       1.0  0.5000000000000001  0.49999999999999994  0.49999999999999956  1.0000
"
wf_mace_mpa_am20_b3_18863,LiLaCl$_{4}$,$I4_1/amd$,0.02,0.44,4.28,0.0,0.3969304717215521,0.06035663987695923,"data_image0
_chemical_formula_structural       Li4Cl16La4
_chemical_formula_sum              ""Li4 Cl16 La4""
_cell_length_a       8.957468741339143
_cell_length_b       8.957468741339135
_cell_length_c       8.439923966848475
_cell_angle_alpha    90.0
_cell_angle_beta     90.0
_cell_angle_gamma    90.0

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Li  Li1       1.0  0.0  0.7499999999999997  0.12499999999999997  1.0000
  Li  Li2       1.0  0.49999999999999994  0.7499999999999999  0.375  1.0000
  Li  Li3       1.0  0.49999999999999983  0.24999999999999978  0.6250000000000001  1.0000
  Li  Li4       1.0  0.0  0.24999999999999992  0.8750000000000002  1.0000
  Cl  Cl1       1.0  0.6846954262788242  0.7499999999999999  0.5727193965902202  1.0000
  Cl  Cl2       1.0  0.8153045737211754  0.24999999999999992  0.07271939659022023  1.0000
  Cl  Cl3       1.0  0.49999999999999983  0.4346954262788238  0.822719396590221  1.0000
  Cl  Cl4       1.0  0.9999999999999999  0.5653045737211753  0.32271939659022036  1.0000
  Cl  Cl5       1.0  0.8153045737211755  0.7499999999999996  0.9272806034097795  1.0000
  Cl  Cl6       1.0  0.6846954262788243  0.2499999999999998  0.4272806034097798  1.0000
  Cl  Cl7       1.0  0.9999999999999999  0.43469542627882385  0.6772806034097799  1.0000
  Cl  Cl8       1.0  0.49999999999999994  0.5653045737211753  0.17728060340977952  1.0000
  Cl  Cl9       1.0  0.18469542627882385  0.24999999999999997  0.07271939659022025  1.0000
  Cl  Cl10      1.0  0.31530457372117593  0.7499999999999999  0.5727193965902202  1.0000
  Cl  Cl11      1.0  3.8767897822655674e-18  0.9346954262788224  0.3227193965902204  1.0000
  Cl  Cl12      1.0  0.4999999999999997  0.06530457372117587  0.822719396590221  1.0000
  Cl  Cl13      1.0  0.31530457372117593  0.24999999999999986  0.4272806034097798  1.0000
  Cl  Cl14      1.0  0.1846954262788241  0.7499999999999997  0.9272806034097795  1.0000
  Cl  Cl15      1.0  0.49999999999999983  0.9346954262788224  0.17728060340977955  1.0000
  Cl  Cl16      1.0  0.9999999999999999  0.06530457372117589  0.6772806034097798  1.0000
  La  La1       1.0  0.9999999999999999  0.24999999999999997  0.375  1.0000
  La  La2       1.0  0.0  0.7499999999999997  0.6250000000000001  1.0000
  La  La3       1.0  0.49999999999999994  0.7499999999999999  0.8750000000000002  1.0000
  La  La4       1.0  0.49999999999999983  0.2499999999999998  0.12499999999999989  1.0000
"
wf_mace_mpa_am20_b3_14424,Li$_{3}$AlF$_{6}$,$C2/m$,0.04,1.06,6.44,-0.01,0.3493359185575502,0.07489290153168146,"data_image0
_chemical_formula_structural       Li6F12Al2
_chemical_formula_sum              ""Li6 F12 Al2""
_cell_length_a       4.9231096473730815
_cell_length_b       8.993664191522607
_cell_length_c       6.011266029530339
_cell_angle_alpha    89.99999999999999
_cell_angle_beta     53.0295830830031
_cell_angle_gamma    90.00000000000003

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Li  Li1       1.0  0.0  0.0  0.0  1.0000
  Li  Li2       1.0  0.4999999999999997  0.49999999999999994  9.051127696250087e-17  1.0000
  Li  Li3       1.0  0.9999999999999999  0.326011579745751  0.4999999999999995  1.0000
  Li  Li4       1.0  2.462185251633702e-16  0.6739884202542482  0.49999999999999933  1.0000
  Li  Li5       1.0  0.4999999999999993  0.8260115797457491  0.49999999999999933  1.0000
  Li  Li6       1.0  0.49999999999999845  0.17398842025424902  0.4999999999999997  1.0000
  F   F1        1.0  0.005941981278443463  0.14384923679108372  0.7109012041553969  1.0000
  F   F2        1.0  0.9940580187215539  0.14384923679108402  0.28909879584460224  1.0000
  F   F3        1.0  0.9940580187215547  0.8561507632089164  0.28909879584460213  1.0000
  F   F4        1.0  0.005941981278443734  0.8561507632089161  0.7109012041553975  1.0000
  F   F5        1.0  0.5059419812784423  0.6438492367910836  0.7109012041553969  1.0000
  F   F6        1.0  0.49405801872155636  0.6438492367910835  0.289098795844602  1.0000
  F   F7        1.0  0.9708961847118132  0.49999999999999983  0.28684073628594375  1.0000
  F   F8        1.0  0.5059419812784423  0.35615076320891575  0.7109012041553973  1.0000
  F   F9        1.0  0.02910381528819006  0.49999999999999983  0.7131592637140538  1.0000
  F   F10       1.0  0.47089618471180583  0.0  0.28684073628594553  1.0000
  F   F11       1.0  0.5291038152881885  0.0  0.7131592637140559  1.0000
  F   F12       1.0  0.4940580187215563  0.35615076320891575  0.2890987958446021  1.0000
  Al  Al1       1.0  0.9999999999999996  0.0  0.4999999999999998  1.0000
  Al  Al2       1.0  0.499999999999999  0.49999999999999983  0.4999999999999995  1.0000
"
